supplier_id,supplier_name,supplier_street,supplier_city,supplier_country,supplier_postcode,supplier_contact,supplier_email,category_id
SUP159407557,Estrada LLC,29281 Larson Junction Suite 206,Lake George,Antarctica (the territory South of 60 deg S),13298,421-111-9681,robertlane@example.com,CAT5703098011
SUP113427036,Moore-Wilson,0240 Watson Crossroad,Johnside,Mali,60929,358-766-6937,ayoung@example.net,CAT7530357816
SUP133509984,Richardson-Andrews,28999 Crystal Street,Huffmanton,Serbia,82368,263-141-8192,smithtracy@example.org,CAT5960069590
SUP270987025,"Ramos, Hunter and Reyes",94549 Javier Ways,South Stephenfort,Uganda,91760,930-492-0720,jade59@example.com,CAT5960069590
SUP131299122,"Thomas, Mcdowell and Pham",08152 King Glen,East Tylerburgh,Vietnam,61294,391-156-8387,tina91@example.com,CAT0254545300
SUP260054113,Wilson-Williams,119 Jose Vista Suite 330,Kevinshire,Sri Lanka,79314,596-443-5108,chentodd@example.com,CAT5960069590
SUP132254606,Young-Hernandez,123 Ashley Drive Apt. 067,Sheaborough,Honduras,41232,798-557-0175,sarahlee@example.org,CAT5960069590
SUP463149069,"Lin, Thomas and Knight",77905 Green Summit Suite 773,Port Shellymouth,Pakistan,84762,883-412-5764,hayesmonica@example.net,CAT5703098011
SUP151971428,Smith-Cook,08564 Fox Spur,New Whitney,Congo,25578,358-257-8092,zbyrd@example.com,CAT7530357816
SUP320400027,"Wood, Wade and Buck",842 Price Isle,Clarenceland,Congo,16447,366-685-4805,nwilliams@example.com,CAT7621512073
SUP182315671,Burnett and Sons,772 Spencer Bridge,Lake Reneeport,Niue,16758,904-142-6538,ylopez@example.net,CAT7530357816
SUP828561200,Brown-Cole,745 Dennis Freeway,Camposfurt,South Georgia and the South Sandwich Islands,88536,417-893-5805,christopher98@example.net,CAT7530357816
SUP185486546,Reynolds-Baxter,282 Scott Ranch Suite 464,West Lynn,Kenya,66766,242-857-0823,cwilliams@example.com,CAT5960069590
SUP112426010,"Meyers, Thomas and Thomas",4136 Walker Spring,Jeffreyville,Singapore,93391,551-338-7458,benjamin24@example.net,CAT7621512073
SUP248372052,Arroyo Group,9560 Kimberly Square Apt. 292,Lake Jessicafurt,Guernsey,88390,389-568-9237,ypatel@example.net,CAT7621512073
SUP131798677,Savage PLC,773 Mccarty Unions Suite 109,Port Joshuaville,Macao,39126,852-354-0846,markwoodward@example.org,CAT7530357816
SUP294192046,"Baldwin, Cain and Smith",116 Angela Overpass,Choitown,Senegal,32380,740-144-7164,padams@example.org,CAT5703098011
SUP443090128,"Hernandez, Steele and Meyer",7078 Terrell Forge,Longville,Falkland Islands (Malvinas),24420,344-527-5885,jessica98@example.org,CAT7621512073
SUP242348575,"Wilson, Gardner and Neal",9166 Leon Square Suite 664,West Bryanshire,Madagascar,17230,348-883-4997,hancockjohn@example.org,CAT7621512073
SUP155078486,Silva Ltd,6948 Brian Loaf Apt. 545,Mitchellview,Tokelau,86079,149-921-5645,khicks@example.com,CAT7530357816
SUP251725474,Brown Group,4635 Victoria Ridge,Justinville,Saint Kitts and Nevis,19188,297-329-4137,paynemario@example.net,CAT0254545300
SUP258163777,"Adams, Rodriguez and Morse",474 Samantha Fall,Rodriguezview,Saint Kitts and Nevis,88464,803-753-6258,sean91@example.net,CAT7621512073
SUP226432649,Burke-Webb,41852 Charles Manor Apt. 411,Andersonland,Congo,64254,316-316-9381,pennygray@example.net,CAT7530357816
SUP265977472,Martinez-Lee,825 Wright Neck,Mahoneyview,Spain,13831,452-617-1061,lisa92@example.org,CAT0254545300
SUP588129541,"Turner, Francis and Le",4304 Reeves Walk Suite 742,Williamshire,French Southern Territories,7542,934-692-9636,yharrison@example.org,CAT7530357816
SUP200579943,Thompson-Navarro,59427 Gary Spring Apt. 559,Vaughanhaven,Kenya,91861,501-357-3378,dennisisaac@example.org,CAT7530357816
SUP512101375,"Rogers, Wise and Smith",2398 Samuel Shores,Priscillastad,Japan,4941,805-886-4501,cwilliamson@example.com,CAT5703098011
SUP241058304,Terry-Olson,427 Brown Lodge,Brockburgh,Slovenia,1231,195-575-7999,mtapia@example.com,CAT5960069590
SUP135710883,"Gray, Melton and Murphy",524 Hall Expressway,Kristiview,Micronesia,77960,388-368-3064,monicataylor@example.com,CAT0254545300
SUP117295279,Buck-Johnson,5554 Ewing Estate,West Charlesmouth,Albania,79401,711-762-0651,nmoss@example.net,CAT5960069590
SUP261309764,Stewart Group,0614 Andrew Mill,Heathershire,Bolivia,14172,348-855-2729,yoneal@example.net,CAT0254545300
SUP267200255,Campbell LLC,624 Sherri Crossroad Apt. 119,East Emily,Lithuania,93182,543-838-8161,toniconway@example.net,CAT0254545300
SUP195739214,"Arnold, Blackwell and Rivera",13140 William Shores Apt. 683,North Robert,Reunion,55039,488-139-4431,daltonjoe@example.org,CAT7621512073
SUP272155500,Simpson Group,13363 Morrison Port,Ericside,Antigua and Barbuda,95205,109-974-4429,jonesjeffery@example.net,CAT5703098011
SUP135411427,"Evans, Barnes and Parker",314 Morales Port,Lake Joyce,India,32968,598-316-5940,derrick64@example.com,CAT5703098011
SUP679090552,Neal-Wood,058 Harvey Oval,Gomezburgh,Korea,6269,845-205-2830,davidfernandez@example.org,CAT7530357816
SUP287888056,Sanchez-Weiss,605 Watson Rest Suite 671,Donaldchester,Tunisia,48587,759-692-4352,spencermelanie@example.org,CAT5960069590
SUP581298570,Davis Ltd,2146 Gallegos Mount,Danielleside,Ireland,46854,856-647-4563,tharris@example.net,CAT7530357816
SUP316833253,"Jones, Schmidt and Davis",3978 Barnett Field Apt. 362,Josephmouth,Wallis and Futuna,92304,747-197-2006,stephanielopez@example.org,CAT5703098011
SUP576154144,Williams-Ward,06195 Mendez Estate,East David,North Macedonia,75181,570-425-8557,aporter@example.org,CAT7530357816
SUP156300936,"Anderson, Williams and Jones",641 Nicholas Port Suite 101,East Peterton,Lebanon,3896,638-547-4034,mgarcia@example.com,CAT5703098011
SUP262728222,Farmer-Mcguire,7129 Bethany Parks,West Lauratown,Albania,95627,815-116-1167,molly25@example.org,CAT5703098011
SUP224698208,"Brooks, Maxwell and Williams",689 Brittney Union Suite 960,Ericburgh,Azerbaijan,56959,546-488-6632,oliviajohnson@example.net,CAT0254545300
SUP170774484,"Hatfield, Medina and Alvarez",64804 Mandy Expressway Apt. 155,Matthewchester,South Georgia and the South Sandwich Islands,36924,376-887-6700,tatejose@example.com,CAT7530357816
SUP305385506,Montgomery PLC,2097 Janet Falls Apt. 637,West Davidside,Belgium,50217,239-619-4371,colleen38@example.com,CAT0254545300
SUP232333075,"Williams, Roberts and Williams",1368 Baker Centers,Padillaberg,Antigua and Barbuda,98221,899-566-8544,buchanandonald@example.com,CAT7530357816
SUP154356472,"Palmer, Jackson and Wilson",6785 Charles Lane,North Elizabethchester,Suriname,25949,853-326-4738,rtaylor@example.net,CAT5703098011
SUP125198230,"Jones, Shaffer and Saunders",5736 Lara Route Suite 732,Lake Hunter,Monaco,34609,744-978-7243,mreyes@example.net,CAT5703098011
SUP249760074,Lucas-Jones,41601 Tanya Drives Suite 679,Jamesburgh,Ethiopia,11450,760-986-5945,fharrison@example.net,CAT7621512073
SUP144153284,Whitehead Group,50949 Matthew Trace Apt. 357,New Nicholashaven,Algeria,71422,373-464-4250,bestjason@example.com,CAT0254545300
SUP926577248,Mitchell-Hayes,922 Brad Summit Apt. 393,Port Jeff,Malta,10573,307-528-8286,pamela88@example.net,CAT5960069590
SUP892567108,Rodriguez-Gomez,7354 David Gateway,East Davidton,Dominican Republic,50880,436-322-8866,lcarroll@example.net,CAT7530357816
SUP275620523,Bowers-Ellis,2917 Julie Trafficway,North Davidview,Niue,84358,171-961-0544,crystallynch@example.org,CAT5960069590
SUP246839810,"Roy, Wright and Wilkerson",5947 Boyd Falls,South Jessicaland,Romania,17327,446-936-0893,jmiller@example.com,CAT7621512073
SUP325358843,Stephens Inc,9410 Amanda Mountain Suite 727,West Richard,Sweden,76579,348-673-5157,garciamary@example.com,CAT5703098011
SUP221499522,Taylor-Butler,16828 Meredith Cove Suite 100,South Tammychester,Tuvalu,38475,793-706-2706,fbuchanan@example.com,CAT0254545300
SUP284008125,Clark-Peterson,67589 Church Junction Suite 989,Lake Jodifurt,Rwanda,1337,663-685-8556,cookpatrick@example.net,CAT5960069590
SUP820077324,Quinn-Hansen,5726 Sylvia Curve Apt. 756,Williamsborough,Guadeloupe,19716,265-929-0359,ryan30@example.com,CAT0254545300
SUP656913471,Yates-Clay,81075 Michael Plaza Apt. 853,Hughesburgh,Norway,84754,373-790-2116,zunigagary@example.org,CAT5703098011
SUP228032136,"Hill, Stewart and Watts",60590 Peters Square Suite 381,Troyland,Libyan Arab Jamahiriya,81139,366-427-8326,bethany41@example.net,CAT0254545300
SUP264619357,Mendoza-Foster,6759 Mary Passage Apt. 641,Doyletown,Norfolk Island,15294,455-821-6389,dalton73@example.com,CAT0254545300
SUP289814149,"Smith, Mcintyre and Gilbert",58586 Mary Summit,Hunthaven,Finland,31903,848-887-5070,john35@example.org,CAT7530357816
SUP112214886,Moran Inc,245 Osborne Rue,Gabrielland,El Salvador,94351,474-875-8818,hvaldez@example.net,CAT5960069590
SUP204457471,Edwards-Craig,13116 Robinson Extension Suite 411,East Marcusmouth,Niger,80161,999-102-3258,kimberly42@example.net,CAT7621512073
SUP107618171,Barker-Willis,66837 Nicole Neck,New Meganbury,Cook Islands,36259,324-631-2174,imiller@example.com,CAT0254545300
SUP214873042,"White, Branch and Bentley",6701 Barnes Fields Suite 790,Davidburgh,Kyrgyz Republic,75135,222-627-6235,stacy38@example.net,CAT0254545300
SUP232115291,Lopez LLC,8887 Pugh Drive,North Danielton,Australia,85461,359-383-5884,wendy42@example.org,CAT7621512073
SUP198135621,Burch PLC,65462 Shane Creek Apt. 720,Louisberg,Kenya,90155,183-757-6026,greerdavid@example.org,CAT5960069590
SUP290964838,Fisher and Sons,7709 Jeffrey Forest Apt. 903,Lake Robert,Malawi,71158,461-279-5218,jessicahernandez@example.org,CAT5703098011
SUP283070800,"Clark, Harris and Norris",2195 Kenneth Tunnel Suite 920,Kellyside,Morocco,30444,702-765-0821,kellymiller@example.org,CAT7530357816
SUP207257196,Murphy PLC,6148 Nelson Ridges,West Jamiestad,Belarus,15915,356-945-6205,nathanwillis@example.net,CAT7621512073
SUP179344382,Hill-Johnson,8398 Aaron Station,Fullerhaven,United States Virgin Islands,24474,318-447-4299,melindamaynard@example.com,CAT0254545300
SUP212326627,Pitts-Stephens,7660 Shane Lodge,New Lisamouth,Burkina Faso,42566,583-347-0734,michaeljones@example.com,CAT5703098011
SUP209531516,Fowler-Adams,5474 King Falls Suite 176,Aliborough,Monaco,66405,176-989-3073,cruzjoseph@example.org,CAT7530357816
SUP141435801,Price-Goodman,3829 Robinson Common,Nancyfort,British Virgin Islands,37519,353-993-9176,blakemichael@example.com,CAT7621512073
SUP163462750,Benitez PLC,095 Kerri Springs Suite 287,Lake Patriciafort,Niger,15280,294-849-6090,william47@example.com,CAT0254545300
