product_id,product_name,product_reviewscore,product_price,category_id
P46306612,Fjallraven Kanken Backpack,4.16,85.45,CAT5703098011
P59416778,Vans Old Skool,2.67,112.72,CAT5703098011
P81554792,Air Jordan 1,1.24,342.06,CAT5703098011
P47602968,UGG Classic Short Boot,4.64,22.85,CAT5703098011
P56508579,Sennheiser Momentum 3 Wireless,2.59,134.03,CAT5703098011
P96258197,Vans Old Skool,3.08,186.88,CAT5703098011
P32532492,RAVPower Portable Charger,4.44,146.44,CAT5703098011
P10668278,UGG Classic Short Boot,3.1,190.51,CAT5703098011
P56993765,Apple AirPods Pro,1.4,51.64,CAT5703098011
P41388769,Birkenstock Gizeh,2.07,209.14,CAT5703098011
P52204796,JBL Flip 5,4.94,308.93,CAT5703098011
P75588213,Puma Suede Classic,2.83,19.31,CAT5703098011
P75953482,Sennheiser Momentum 3 Wireless,2.77,68.01,CAT5703098011
P33926222,Bose Noise Cancelling Headphones 700,4.27,30.06,CAT5703098011
P37952537,Fjallraven Kanken Backpack,1.98,341.3,CAT5703098011
P74774577,Dr. Martens 1460,4.3,38.72,CAT5703098011
P29795820,Puma Suede Classic,1.8,251.36,CAT5703098011
P90263233,Converse Chuck Taylor All Star,3.3,154.24,CAT5703098011
P18722193,Crocs Classic Clog,2.61,66.27,CAT5703098011
P21441091,New Balance 574,2.99,112.52,CAT5703098011
P68152097,UE Boom 3,1.96,150.04,CAT5703098011
P69882716,North Face Denali Jacket,1.92,321.89,CAT5703098011
P15499527,Air Jordan 1,4.15,199.35,CAT5703098011
P99996011,Bose Noise Cancelling Headphones 700,3.54,336.34,CAT5703098011
P36928752,Anker PowerCore 10000,1.14,115.7,CAT5703098011
P56656400,Tile Mate,1.99,218.88,CAT5703098011
P23885151,Timberland 6-Inch Premium Waterproof Boot,3.35,329.44,CAT5703098011
P59852909,JBL Flip 5,3.38,263.81,CAT5703098011
P31286465,Fjallraven Kanken Backpack,3.66,203.39,CAT5703098011
P21669181,Tile Mate,4.31,147.74,CAT5703098011
P75463073,JBL Flip 5,4.21,149.79,CAT5703098011
P34297538,Chuck Taylor All Star High Top,3.31,191.69,CAT5703098011
P82566347,Puma Suede Classic,2.23,245.51,CAT5703098011
P63226549,Fjallraven Kanken Backpack,3.61,70.72,CAT5703098011
P49292258,Crocs Classic Clog,1.39,303.48,CAT5703098011
P92881101,RAVPower Portable Charger,1.04,327.54,CAT5703098011
P44213668,Ray-Ban Wayfarer Sunglasses,4.54,12.13,CAT5703098011
P59867097,Reebok Classic Leather,4.93,250.12,CAT5703098011
P21444532,Crocs Classic Clog,4.94,208.14,CAT5703098011
P12852966,Nike Air Force 1,3.27,122.39,CAT5703098011
P13268949,Reebok Classic Leather,1.02,105.78,CAT5703098011
P91263430,Reebok Classic Leather,3.22,92.26,CAT5703098011
P70126000,Tile Mate,3.59,146.72,CAT5703098011
P98733463,Ray-Ban Wayfarer Sunglasses,4.92,34.8,CAT5703098011
P32527331,Crocs Classic Clog,4.79,30.31,CAT5703098011
P61926913,Dr. Martens 1460,1.48,83.4,CAT5703098011
P98612339,Anker PowerCore 10000,4.67,40.75,CAT5703098011
P53426774,Fjallraven Kanken Backpack,4.99,131.52,CAT5703098011
P57533522,Nike Air Force 1,3.55,144.51,CAT5703098011
P49965352,JBL Flip 5,4.14,183.38,CAT5703098011
P53649623,Chuck Taylor All Star High Top,4.2,164.07,CAT5703098011
P52784962,Patagonia Better Sweater,1.09,345.07,CAT5703098011
P91809454,Nike Air Max 90,4.75,236.82,CAT5703098011
P66191469,Tile Mate,2.28,330.16,CAT5703098011
P46386620,JBL Flip 5,4.47,305.39,CAT5703098011
P12478111,Chuck Taylor All Star High Top,4.29,163.13,CAT5703098011
P90925914,Levi's 501 Jeans,1.51,137.36,CAT5703098011
P45634441,Crocs Classic Clog,2.01,54.4,CAT5703098011
P38535158,Adidas Ultra Boost,1.21,60.7,CAT5703098011
P85487175,Chuck Taylor All Star High Top,1.61,215.34,CAT5703098011
P67314901,North Face Denali Jacket,3.13,252.93,CAT5703098011
P51338421,Bose Noise Cancelling Headphones 700,4.29,84.74,CAT5703098011
