product_id,supplier_id,product_cost,quantity
P26262802,SUP166618280,135.2,69
P83389401,SUP284008125,473.42,71
P74822795,SUP711474158,120.53,64
P10603435,SUP183296109,455.8,31
P36928752,SUP325358843,105.13,33
P49439033,SUP170774484,157.96,21
P77561744,SUP248372052,93.66,53
P39731603,SUP178275560,242.87,99
P69127521,SUP112214886,571.06,29
P38683780,SUP156300936,175.6,70
P14994695,SUP463149069,271.6,89
P17357211,SUP187257058,243.14,58
P28889142,SUP945668282,24.97,53
P58591848,SUP106937126,275.47,75
P62744404,SUP228032136,131.53,46
P82566347,SUP272155500,193.56,28
P90375591,SUP218582517,87.5,86
P22152660,SUP121271196,166.33,65
P78537269,SUP226432649,14.13,14
P18722193,SUP172597346,52.44,80
P65983555,SUP144153284,28.93,25
P38535158,SUP293926685,50.62,92
P53696947,SUP325358843,225.92,65
P45507004,SUP926577248,363.9,35
P74742032,SUP112426010,112.11,54
P66459393,SUP209531516,258.17,47
P55495888,SUP297518437,227.26,19
P15402604,SUP588129541,50.14,49
P76303988,SUP106937126,45.01,19
P71411966,SUP581298570,212.85,47
P67275057,SUP136665271,67.77,100
P52756652,SUP251586871,551.63,60
P31796113,SUP102667751,193.85,38
P48111266,SUP259593110,70.06,96
P56656400,SUP330356313,197.82,63
P58591848,SUP132825464,245.04,94
P29814122,SUP232333075,109.2,75
P36308399,SUP203374023,148.02,96
P76459907,SUP141435801,123.19,73
P24518204,SUP112214886,572.21,28
P58976509,SUP243659080,265.89,28
P23854089,SUP121271196,43.52,86
P70356262,SUP130095879,245.04,42
P10456729,SUP169767088,93.53,47
P56729689,SUP246839810,164.9,73
P67803963,SUP259593110,8.83,46
P48853418,SUP334920424,74.57,80
P79973603,SUP275620523,585.9,35
P88568858,SUP711474158,176.02,90
P10593981,SUP202756351,108.33,56
P38449378,SUP136665271,9.02,46
P76303988,SUP188795951,44.35,41
P48853418,SUP136665271,77.6,54
P76951423,SUP185486546,513.62,49
P99789809,SUP206423067,62.38,45
P86402575,SUP945668282,17.73,65
P99335403,SUP129224270,83.76,59
P90503710,SUP135710883,35.81,77
P25448652,SUP288993955,61.91,49
P70205893,SUP232333075,55.66,37
P29413835,SUP155078486,240.71,65
P98273360,SUP132825464,202.28,94
P80167548,SUP295630905,99.35,63
P26482200,SUP293268870,181.75,64
P13745599,SUP249760074,34.43,96
P64131670,SUP141435801,16.42,45
P50372459,SUP224448032,235.44,91
P31286465,SUP488169079,171.32,55
P20641623,SUP114427716,192.34,37
P16422655,SUP228032136,18.5,21
P58591848,SUP795028826,267.62,20
P44213668,SUP391286527,10.51,97
P22744492,SUP154356472,65.19,39
P64927743,SUP259593110,19.34,20
P19201199,SUP840378313,412.85,97
P75953482,SUP159407557,48.42,26
P15397235,SUP273951622,219.07,32
P54252623,SUP163462750,42.94,83
P47165693,SUP202756351,171.46,63
P55206620,SUP945668282,10.38,13
P92722397,SUP320400027,189.94,79
P75588213,SUP134982297,15.43,83
P20154366,SUP334920424,27.31,92
P75304280,SUP224698208,35.87,50
P93352401,SUP182315671,280.31,57
P56508579,SUP391286527,112.36,82
P32855564,SUP209531516,249.42,16
P19729934,SUP120465025,41.65,60
P56993765,SUP656913471,41.61,33
P54232862,SUP278639247,431.74,91
P65983555,SUP264619357,34.09,97
P81554792,SUP290964838,274.79,81
P23504091,SUP183296109,585.35,73
P51502320,SUP265977472,105.63,69
P21268228,SUP853255224,74.18,25
P18156345,SUP200579943,48.63,56
P95573042,SUP241830593,110.19,91
P29264607,SUP159407557,194.4,38
P70356262,SUP463149069,274.73,70
P27499095,SUP146303725,112.51,71
P36933022,SUP120465025,33.34,34
P74822795,SUP241830593,106.79,89
P72391139,SUP226432649,146.91,78
P50833741,SUP668506718,5.78,32
P96258197,SUP178309329,158.04,76
P47112734,SUP247151522,46.82,79
P91263430,SUP280438548,65.98,98
P59416778,SUP272155500,106.21,28
P39121645,SUP151805265,18.11,20
P62744404,SUP265977472,105.92,21
P37161903,SUP892567108,124.55,71
P45634441,SUP335813809,44.99,81
P90503710,SUP170232323,30.94,80
P49292258,SUP260762356,280.29,88
P40373788,SUP113427036,113.69,16
