product_id,supplier_id,product_cost,quantity
P86575409,SUP207257196,40,35
P47948162,SUP297518437,20.94,29
P20641623,SUP313562672,178.53,38
P44116414,SUP248372052,57.6,65
P22744492,SUP391286527,73.76,18
P98733463,SUP224448032,28.84,89
P33342028,SUP132254606,373.82,94
P17357211,SUP828561200,272.51,58
P89694349,SUP265269126,189.03,59
P73414988,SUP246730485,454.54,51
P96677758,SUP151805265,25.97,82
P48287238,SUP131798677,135.16,20
P90375591,SUP144153284,100.46,74
P70557429,SUP293268870,216.38,84
P59852909,SUP154356472,197.38,98
P89573496,SUP129224270,241.27,71
P89896259,SUP132254606,382.19,87
P92615078,SUP264619357,96.84,23
P31286465,SUP256273530,182.23,93
P94334727,SUP423480280,176.56,97
P93171573,SUP286527883,619.61,46
P40833003,SUP270987025,216.43,19
P77923787,SUP247151522,735.26,58
P85381374,SUP106937126,207.08,61
P98984468,SUP284008125,236.62,80
P61449978,SUP158785898,64.2,31
P10975669,SUP186921538,76.07,53
P13268949,SUP224448032,88.16,20
P75862291,SUP186921538,112.11,27
P94875199,SUP334920424,83.11,21
P76573321,SUP151805265,96.37,80
P89142641,SUP270987025,704.48,12
P90537720,SUP142524398,90.17,68
P70523514,SUP261123843,66.78,55
P19371997,SUP283355172,60.68,91
P11732301,SUP226432649,49.57,72
P75862291,SUP221499522,106.31,58
P22906576,SUP246730485,670.75,79
P18572795,SUP222889906,161.08,39
P50505190,SUP112426010,47.11,79
P80599323,SUP112426010,128.74,45
P76573321,SUP135710883,92.72,62
P29518596,SUP151971428,62.77,38
P45507004,SUP251586871,367.01,46
P34169033,SUP102667751,24.72,70
P45626009,SUP297518437,117.73,51
P27202681,SUP476888678,25.14,63
P46386620,SUP463149069,221.82,51
P90925914,SUP216261676,104.38,64
P58474530,SUP200579943,17.32,71
P66459393,SUP176933531,229.41,55
P92682355,SUP246839810,181.53,38
P50833741,SUP288993955,5.8,60
