product_id,customer_id,supplier_id,order_details_id,order_transaction_date,order_quantity
P98984468,CUS2684721181,SUP284008125,ORD0900030772,24/04/20,34
P82514309,CUS2798134854,SUP289814149,ORD3418629230,19/09/22,56
P65451355,CUS2528958110,SUP121271196,ORD0227538030,20/03/21,99
P80123273,CUS4743094178,SUP248372052,ORD8682059844,10/02/21,96
P10456729,CUS6063653236,SUP164456819,ORD1915986209,21/03/20,48
P64884205,CUS9070484285,SUP259593110,ORD0614892300,02/03/22,68
P75528934,CUS8165961500,SUP284017038,ORD6739546265,08/06/20,39
P17909696,CUS7849827244,SUP241058304,ORD7244642773,30/05/21,71
P25448652,CUS3587428794,SUP288993955,ORD1046440924,06/09/20,85
P20154366,CUS9070484285,SUP221499522,ORD5770933481,01/11/21,83
P89896259,CUS7625017567,SUP689350546,ORD0313825711,24/09/22,18
P41388769,CUS5999378761,SUP293926685,ORD3603194246,14/04/21,83
P36381999,CUS6033136586,SUP273951622,ORD9957709966,11/06/22,5
P99335403,CUS1266469931,SUP251586871,ORD9710202296,08/12/21,40
P44116414,CUS9174492152,SUP248372052,ORD8222488673,16/08/20,64
P20154366,CUS3997888787,SUP221499522,ORD9807669296,17/01/20,9
P81729199,CUS6959930510,SUP228032136,ORD7318896260,16/02/22,86
P29795820,CUS3432315376,SUP159432385,ORD7247479107,15/09/22,45
P75862291,CUS9267696068,SUP107618171,ORD0510401040,20/02/20,30
P99371696,CUS2788741928,SUP274260887,ORD7241551522,30/08/20,96
P70523514,CUS1505369800,SUP224448032,ORD8968497189,22/05/20,35
P62778148,CUS7802489601,SUP251586871,ORD9953962934,20/02/22,30
P55495888,CUS8500356774,SUP182315671,ORD9792466572,07/04/22,83
P90537720,CUS1887686843,SUP142524398,ORD3739044721,22/07/20,60
P20154366,CUS5428326506,SUP334920424,ORD5630371228,10/03/21,67
P20734556,CUS4743094178,SUP248372052,ORD7909548832,11/12/20,18
P38753116,CUS4084509183,SUP226905544,ORD5444245416,25/09/20,76
P50505190,CUS4858770729,SUP288993955,ORD0740608161,31/10/22,63
P40447819,CUS8184312334,SUP303365953,ORD6365517224,07/03/22,68
P39121645,CUS7956951259,SUP151805265,ORD8339338942,17/01/20,61
P17137437,CUS5556098751,SUP945668282,ORD0697355202,03/07/22,4
P50833741,CUS8695167410,SUP668506718,ORD5582613528,04/11/20,40
P41388769,CUS8657017555,SUP142663161,ORD7478626274,17/05/20,98
P29795820,CUS3207134734,SUP159432385,ORD9177842114,22/11/22,43
P59416778,CUS2278353411,SUP106937126,ORD8380457878,29/10/20,56
P37952537,CUS6073283601,SUP106937126,ORD6034196033,08/03/21,29
P52756652,CUS1981571663,SUP286527883,ORD5345633387,25/04/22,62
P73777011,CUS1960983865,SUP241058304,ORD6480638177,29/07/22,68
P36928752,CUS2359915207,SUP325358843,ORD2891483653,19/09/22,15
P18572795,CUS3187741517,SUP222889906,ORD2929992074,03/05/22,98
P36329652,CUS1278280324,SUP840378313,ORD9807669296,12/10/21,65
P41232863,CUS8393010047,SUP424904370,ORD0205353500,17/04/22,30
P91263430,CUS9081937030,SUP142663161,ORD4164026020,26/09/22,54
P37952537,CUS7369563022,SUP106937126,ORD2043451253,04/11/21,79
P84977995,CUS1266469931,SUP117295279,ORD8104601740,04/09/21,81
P58591848,CUS0964175193,SUP272155500,ORD2279853967,18/09/21,50
P44114070,CUS6063653236,SUP303365953,ORD7482638587,17/01/21,27
P40833003,CUS6604501000,SUP714146417,ORD1487849001,06/10/22,40
P56508579,CUS6136461064,SUP391286527,ORD5373467986,23/08/21,3
P11549408,CUS2605351815,SUP251586871,ORD0569646080,07/12/21,8
P41608676,CUS2740649282,SUP132254606,ORD6010511401,18/04/21,20
P80123273,CUS3742255150,SUP207257196,ORD6739546265,17/11/20,37
P65741732,CUS0470847441,SUP247151522,ORD8349911089,12/06/20,82
P92615078,CUS1960983865,SUP264619357,ORD9710202296,03/08/20,17
P39805594,CUS1033604496,SUP335813809,ORD8476665586,23/12/21,41
P22744492,CUS9831686721,SUP316833253,ORD0313825711,11/02/21,82
P66752896,CUS4723638601,SUP131406229,ORD6480638177,20/12/21,69
P26262802,CUS4974751867,SUP695839034,ORD8526119074,12/07/20,21
P62778148,CUS1810770173,SUP287888056,ORD3753807884,23/02/21,83
P78537269,CUS1035613352,SUP151690213,ORD8968497189,07/12/20,25
P41899275,CUS1821902440,SUP132315598,ORD7275331200,20/11/22,75
P56907959,CUS2798134854,SUP689350546,ORD9813746734,01/06/20,72
P23504091,CUS2348169959,SUP183296109,ORD5093740806,01/05/20,6
P96258197,CUS9648108056,SUP178309329,ORD3984949899,16/10/21,61
P66752896,CUS9286975155,SUP795028826,ORD2525988438,05/12/22,36
P99335403,CUS5050117607,SUP247151522,ORD1905776021,16/05/22,7
P98984468,CUS6959930510,SUP284008125,ORD9703051595,02/08/22,35
P33372053,CUS6959930510,SUP284008125,ORD6510384437,02/01/22,55
P15957424,CUS7611770675,SUP106937126,ORD5805596070,25/07/21,68
P52784962,CUS8850149883,SUP325358843,ORD0900030772,26/11/22,55
P99842537,CUS6073283601,SUP204457471,ORD9560276399,18/08/20,95
P92615078,CUS8787145480,SUP214873042,ORD4656591555,12/08/21,48
P32897218,CUS0571791123,SUP186921538,ORD1614388374,02/07/21,56
P94819787,CUS5871683185,SUP241058304,ORD9048518694,28/03/20,98
P66288623,CUS6643222508,SUP159432385,ORD9560276399,14/05/22,8
P47602968,CUS2416141813,SUP325358843,ORD6457532426,17/12/20,63
P34169033,CUS7476133226,SUP102667751,ORD7487164435,09/03/22,86
P45507004,CUS9969399977,SUP926577248,ORD9961067836,09/10/20,75
P45626009,CUS8268237988,SUP151690213,ORD2255646024,05/04/20,54
P10456729,CUS5871683185,SUP169767088,ORD0510401040,13/01/20,61
P46386620,CUS0283852631,SUP159432385,ORD6821335843,19/01/20,12
P56907959,CUS8565490017,SUP689350546,ORD2929992074,09/09/20,29
P37231300,CUS2738440495,SUP198078780,ORD5117450881,21/11/22,60
P22744492,CUS9092322512,SUP322365865,ORD6177093439,24/08/20,72
P64131670,CUS4974751867,SUP711474158,ORD1087221596,21/06/22,17
P40447819,CUS0056803036,SUP303365953,ORD9337492214,07/06/21,27
P47602968,CUS0198907958,SUP339148131,ORD3721953275,03/03/21,10
P53378526,CUS0319296857,SUP828561200,ORD4722530626,14/05/21,38
P86402575,CUS6533017829,SUP267200255,ORD1323373686,18/03/21,91
P21669181,CUS5071448645,SUP178309329,ORD2891483653,27/08/21,74
P98612339,CUS4512520449,SUP463149069,ORD6888071028,18/08/20,88
P11281448,CUS2471316379,SUP264619357,ORD9359591862,16/12/20,36
P84977995,CUS9984735494,SUP313562672,ORD5621317019,03/01/21,13
P28501207,CUS2602615323,SUP241058304,ORD4383782871,05/07/20,44
P21669181,CUS6906889680,SUP335813809,ORD6636879271,01/02/21,74
P10668278,CUS0755718399,SUP133235870,ORD3931910938,07/10/20,96
P14994695,CUS2942879726,SUP463149069,ORD0322509310,27/04/20,23
P39121645,CUS5699587551,SUP151805265,ORD9796136530,17/01/20,74
P49965352,CUS3656326665,SUP259205684,ORD6997315700,14/10/22,70
P96258197,CUS3610620455,SUP316833253,ORD6746889039,25/06/22,95
P92881101,CUS4109780195,SUP135411427,ORD8121120856,28/05/22,8
P58591848,CUS6451777102,SUP290451107,ORD3838289040,24/12/22,9
P34139616,CUS4164213167,SUP265977472,ORD7909548832,19/10/21,72
P43542510,CUS1271951401,SUP136665271,ORD1601988270,10/02/21,69
P51502320,CUS8787145480,SUP221499522,ORD7973831787,27/05/20,49
P56508579,CUS3008391796,SUP262728222,ORD1901706290,31/08/20,36
P48296294,CUS3590959622,SUP159126633,ORD1894711145,09/03/21,50
P31449565,CUS2605351815,SUP609867193,ORD7691664086,17/08/20,70
P71411966,CUS8533754787,SUP293268870,ORD0740608161,04/07/20,12
P54446208,CUS2447947690,SUP129224270,ORD9031329275,15/07/22,61
P44116414,CUS7737023682,SUP195739214,ORD6888071028,27/07/20,17
P94875199,CUS3095772874,SUP221499522,ORD2070169591,07/11/22,67
P45586681,CUS5071448645,SUP135710883,ORD7409726557,31/05/20,57
P37231300,CUS5060359840,SUP241830593,ORD9076455006,11/05/20,26
P75537732,CUS9174492152,SUP100395220,ORD3713914158,15/03/22,47
P41232863,CUS1684524008,SUP424904370,ORD5427894157,11/06/21,20
P32219071,CUS2798134854,SUP179344382,ORD7059684808,21/06/22,92
P89117870,CUS1944134514,SUP229604884,ORD7266997350,02/01/21,1
P39731603,CUS7476133226,SUP297518437,ORD1888016254,12/08/22,15
P78289944,CUS8056145044,SUP668506718,ORD0205353500,06/11/20,29
P40373788,CUS9571295957,SUP113427036,ORD7877046943,23/01/22,61
P80579957,CUS3879310602,SUP293268870,ORD6177093439,15/04/21,12
P82197036,CUS5208397536,SUP689350546,ORD3708829666,04/10/21,5
P11732301,CUS8328430479,SUP178275560,ORD5766664698,18/04/21,39
P41945186,CUS8393010047,SUP292038086,ORD1719864118,12/11/21,33
P89896259,CUS6569967630,SUP198135621,ORD5590930529,05/11/21,82
P18156345,CUS7150735614,SUP284017038,ORD2747685031,14/11/22,75
P61447074,CUS4576186825,SUP293268870,ORD0406880027,06/04/21,3
P28501207,CUS7281872801,SUP114427716,ORD2894463576,21/10/22,29
P92615078,CUS3774712077,SUP609867193,ORD8222488673,23/05/20,91
P37952537,CUS2685664459,SUP985993581,ORD9101661720,10/01/20,87
P98273360,CUS1139922009,SUP259205684,ORD0913621949,15/12/21,90
P47602968,CUS6588182066,SUP656913471,ORD5538516263,17/07/22,23
P30536604,CUS1224241754,SUP221499522,ORD8385988624,26/09/20,87
P42945843,CUS1062242815,SUP228032136,ORD0322509310,13/04/22,81
P22747490,CUS5597522949,SUP100395220,ORD9536392376,23/12/21,30
P33372053,CUS1684524008,SUP284008125,ORD5658167113,16/07/22,96
P92881101,CUS8929728499,SUP191089540,ORD0718737178,09/09/20,74
P21268228,CUS9510634700,SUP179344382,ORD9429363734,20/11/21,38
P92929889,CUS1139922009,SUP136665271,ORD7939621469,07/10/22,70
P26826691,CUS8530307291,SUP100395220,ORD7557580380,28/05/21,57
P48524041,CUS1718770766,SUP209531516,ORD9666381076,16/05/21,87
P56248922,CUS1941235468,SUP246839810,ORD0389606842,30/09/20,52
P12478111,CUS3008391796,SUP423480280,ORD1323373686,30/12/21,24
P78537269,CUS0760478201,SUP226432649,ORD5803622239,08/02/22,70
P37231300,CUS9941716374,SUP295630905,ORD5173457215,04/11/21,48
P26262802,CUS5339510921,SUP166618280,ORD3253666159,01/04/21,41
P64927743,CUS1505369800,SUP259593110,ORD2769495107,03/09/21,58
P70867799,CUS7749762299,SUP158785898,ORD5538516263,08/02/20,57
P82197036,CUS5797193868,SUP337535546,ORD8101102389,27/11/21,36
P37952537,CUS8483181592,SUP216261676,ORD4722530626,25/10/21,87
P49267362,CUS9838711381,SUP985993581,ORD3838289040,29/07/21,35
P95476550,CUS3294276060,SUP160985008,ORD7914698705,02/08/21,54
P53426774,CUS7749762299,SUP216261676,ORD5582613528,02/10/22,10
P15658644,CUS4974751867,SUP284017038,ORD9085134267,24/12/22,100
P67275057,CUS5317230608,SUP334920424,ORD9953962934,30/12/22,34
P13472415,CUS8192585018,SUP251725474,ORD7456919071,03/06/22,53
P41914107,CUS8500356774,SUP251586871,ORD5117450881,13/05/22,6
P52756652,CUS8203400094,SUP286527883,ORD4599333506,24/08/22,17
P92615078,CUS7487565920,SUP609867193,ORD5491875137,07/12/20,77
P18919292,CUS8483181592,SUP221499522,ORD4267881782,18/05/21,67
P91809454,CUS3559268826,SUP656913471,ORD2574390856,23/02/21,81
P61429599,CUS8071851191,SUP828561200,ORD5733190791,10/04/22,2
P81774707,CUS8214379040,SUP209531516,ORD7870079357,25/01/20,11
P15397235,CUS0052193721,SUP272769681,ORD5278851561,18/08/21,75
P91362711,CUS8548635932,SUP261309764,ORD7132155733,29/03/22,29
P29814122,CUS5875002794,SUP203374023,ORD5345633387,13/04/21,68
P56248922,CUS9267696068,SUP248372052,ORD9807669296,27/09/21,70
P56248922,CUS4516834154,SUP169767088,ORD3984928074,14/10/21,39
P77216116,CUS9516473423,SUP424904370,ORD2426252134,23/04/20,13
P26262802,CUS5482378098,SUP695839034,ORD6901688390,21/10/22,42
