product_id,customer_id,supplier_id,order_id,order_transaction_date,order_quantity
P64927743,CUS1941235468,SUP259593110,ORD9370187551,24/06/22,61
P70205893,CUS0040865932,SUP232333075,ORD0854269302,12/08/21,36
P19197874,CUS6697840323,SUP122284583,ORD3670309963,06/10/20,6
P54252623,CUS0663279968,SUP265977472,ORD3614259593,21/03/21,83
P18279428,CUS7802489601,SUP576154144,ORD3876564367,03/04/22,39
P38753116,CUS7737023682,SUP226905544,ORD3745448398,21/12/21,35
P82942731,CUS2726733735,SUP159126633,ORD3162249727,25/01/20,28
P46931127,CUS0544536401,SUP476888678,ORD7842440824,24/01/21,93
P58899446,CUS2050980337,SUP195739214,ORD3708829666,22/07/22,85
P91404938,CUS7233835160,SUP200579943,ORD3614259593,29/04/22,56
P46102483,CUS0706018877,SUP926577248,ORD2160465900,08/10/22,69
P50505190,CUS4858770729,SUP112426010,ORD0646711965,08/02/21,82
P81111129,CUS9937349176,SUP172597346,ORD5501753608,13/11/20,14
P92881101,CUS1539654281,SUP135411427,ORD2246327040,10/01/20,40
P20734556,CUS0186724608,SUP195739214,ORD7516965573,11/09/21,14
P26262802,CUS6120903224,SUP695839034,ORD0752227526,20/05/20,22
P50372459,CUS2731889926,SUP985993581,ORD8094110572,01/02/20,13
P15397235,CUS3563415188,SUP198078780,ORD7132155733,15/08/21,80
P57427090,CUS2469326311,SUP133404992,ORD4858805870,28/01/20,82
P60205815,CUS2731889926,SUP359315989,ORD4595341868,07/06/20,90
P87409930,CUS9375218910,SUP133509984,ORD5663974330,31/01/20,39
P64131670,CUS6590531439,SUP198078780,ORD0432091114,28/06/22,25
P94668096,CUS9732817674,SUP120465025,ORD4248672258,06/11/20,52
P54574264,CUS1261406559,SUP185486546,ORD1531158990,14/05/22,12
P93988828,CUS6063653236,SUP241058304,ORD8579025934,07/03/21,61
P96677758,CUS1413703178,SUP135710883,ORD8455396224,06/06/22,4
P93464793,CUS6727460124,SUP260054113,ORD7119371811,05/12/20,44
P75463073,CUS4357285046,SUP398474325,ORD0851817634,24/09/22,71
P20674547,CUS3587428794,SUP218582517,ORD5766664698,03/10/21,25
P78537269,CUS5934762575,SUP226432649,ORD2580746018,05/09/21,49
P80123273,CUS8430998942,SUP207257196,ORD4599333506,18/08/21,7
P86711759,CUS0131688952,SUP334406849,ORD5847957255,26/11/20,95
P50847950,CUS7402177998,SUP242348575,ORD3753807884,15/02/21,39
P19197874,CUS1091430837,SUP227734170,ORD3708829666,13/12/20,11
P54574264,CUS7849827244,SUP185486546,ORD0686443040,01/04/22,5
P51502320,CUS5699435123,SUP100395220,ORD2574390856,01/03/22,30
P23854089,CUS6309493817,SUP160985008,ORD5482895551,09/04/21,24
P59867097,CUS8548635932,SUP339148131,ORD5621317019,06/02/21,52
P80599323,CUS5871683185,SUP195184466,ORD9560276399,21/01/21,99
P99996011,CUS2464432504,SUP294192046,ORD4140970948,04/05/21,12
P31286465,CUS7980170008,SUP463149069,ORD4309056043,16/03/22,52
P69127521,CUS5434348680,SUP424904370,ORD6661863278,31/05/21,89
P98612339,CUS4459886952,SUP463149069,ORD1607433528,22/11/21,80
P78367641,CUS5699435123,SUP668506718,ORD7452781647,24/12/21,68
P81774707,CUS1091430837,SUP283355172,ORD2319406068,20/11/22,6
P64131670,CUS3508913090,SUP711474158,ORD9807669296,17/01/20,35
P90925914,CUS4650508150,SUP132825464,ORD7119371811,20/12/20,39
P77561744,CUS0937675989,SUP265269126,ORD7290219235,17/03/20,70
P14671093,CUS0869953095,SUP424904370,ORD0389606842,12/11/20,20
P45199205,CUS8704494261,SUP169767088,ORD9391608288,21/07/22,22
P82197036,CUS0869953095,SUP185486546,ORD3540807879,12/09/20,56
P83414248,CUS2528958110,SUP290964838,ORD4420390312,17/04/22,68
P66752896,CUS7907991730,SUP188795951,ORD5213488605,27/07/21,30
