order_id,order_status,check_out_date,payment_method,payment_status,payment_date
ORD2951237895,Refunding,2022.10.2,Bank Transfer,Refund Processing,2022.10.3
ORD5739212331,Refunded,2020.1.17,Bank Transfer,Refund Successful,2020.1.24
ORD3739044721,Confirmed,2020.10.5,Credit Card,Payment Successful,2020.10.9
ORD6565941181,Processing,2023.10.10,PayPal,Partial Payment,2023.10.11
ORD9560276399,Shipped,2023.7.30,Credit Card,Payment Successful,2023.8.3
ORD6232821497,Problem,2021.3.31,Apple Pay,Refund Failed,2021.3.31
ORD1964340056,Processing,2024.1.17,Google Pay,Partial Payment,2024.1.20
ORD6997315700,Problem,2020.10.31,Google Pay,Refund Failed,2020.11.5
ORD1581176401,Processing,2022.3.12,Bank Transfer,Partial Payment,2022.3.17
ORD8570490899,Completed,2021.12.4,PayPal,Payment Successful,2021.12.10
ORD5262181467,Completed,2022.3.10,PayPal,Payment Successful,2022.3.17
ORD9666381076,Pending,2022.2.20,Google Pay,Pending Payment,2022.2.23
ORD3353144180,Refunding,2023.9.6,Bank Transfer,Refund Processing,2023.9.7
ORD2580746018,Refunded,2021.3.12,Google Pay,Refund Successful,2021.3.16
ORD0677751636,Shipped,2022.5.20,Debit Card,Payment Successful,2022.5.22
ORD6457532426,Refunded,2023.7.14,Apple Pay,Refund Successful,2023.7.18
ORD0342823361,Pending,2023.5.29,Credit Card,Pending Payment,2023.5.29
ORD2510774225,Shipped,2019.3.16,PayPal,Payment Successful,2019.3.18
ORD5658167113,Completed,2020.8.16,Google Pay,Payment Successful,2020.8.19
ORD0854269302,Refunding,2021.12.25,Credit Card,Refund Processing,2021.12.30
ORD8101102389,Problem,2019.5.3,Apple Pay,Payment Failed,2019.5.3
