product_id,product_name,product_reviewscore,product_price,category_id
P92615078,The Hitchhiker's Guide to the Galaxy,4.76,122.45,CAT0254545300
P75304280,The Twilight Saga Series,3.83,42.87,CAT0254545300
P97627448,Harry Potter and the Prisoner of Azkaban,1.61,124.44,CAT0254545300
P99789809,The Chronicles of Narnia,3.19,81.16,CAT0254545300
P47491099,The Maze Runner Series,4.9,110.53,CAT0254545300
P30382608,The Divergent Trilogy,4.55,23.16,CAT0254545300
P38341000,The Maze Runner Trilogy,4.45,111.94,CAT0254545300
P67803963,Lord of the Flies,1.42,9.45,CAT0254545300
P30536604,1984,4.78,48.64,CAT0254545300
P22254190,Harry Potter and the Half-Blood Prince,3.7,97.34,CAT0254545300
P48111266,The Mortal Instruments Series,4.43,97.9,CAT0254545300
P48853418,The Hobbit,3.23,85.53,CAT0254545300
P39199819,The Maze Runner Series,1.1,51.21,CAT0254545300
P75537732,The Twilight Saga Series,3.31,119.12,CAT0254545300
P23954632,The Hunger Games Trilogy,4.89,86.23,CAT0254545300
P25733544,Harry Potter and the Deathly Hallows,2.34,90.25,CAT0254545300
P22747490,The Girl with the Dragon Tattoo,2.53,145.2,CAT0254545300
P46931127,Divergent,2.64,30.27,CAT0254545300
P36933022,The Great Gatsby,2.62,45.19,CAT0254545300
P10975669,Harry Potter and the Prisoner of Azkaban,4.69,93.48,CAT0254545300
P94668096,The Hobbit,2.27,128.23,CAT0254545300
P19729934,The Fault in Our Stars,4.55,49.18,CAT0254545300
P81729199,Fahrenheit 451,3.5,83.3,CAT0254545300
P90375591,The Lord of the Rings,1.24,110.54,CAT0254545300
P40447819,Harry Potter and the Deathly Hallows,3.86,16.15,CAT0254545300
P47789629,A Song of Ice and Fire,2.45,44.02,CAT0254545300
P18919292,The Catcher in the Rye,2.31,132.03,CAT0254545300
P90503710,Pride and Prejudice,2.61,39.44,CAT0254545300
P30841123,The Alchemist,4.71,101.59,CAT0254545300
P51502320,The Fault in Our Stars,3.61,125.5,CAT0254545300
P47988011,To Kill a Mockingbird,4.75,105.66,CAT0254545300
P33822408,The Hunger Games Series,4.56,136.15,CAT0254545300
P36992527,The Hunger Games Trilogy,1.25,63.8,CAT0254545300
P90532134,The Lord of the Rings Series,4.09,127.18,CAT0254545300
P32219071,The Maze Runner Series,3.98,90.73,CAT0254545300
P64927743,The Twilight Saga,2.52,23.37,CAT0254545300
P20154366,The Hunger Games,4.6,30.24,CAT0254545300
P69461901,The Great Gatsby,3.32,146.63,CAT0254545300
P59897514,The Hobbit,1.23,146.79,CAT0254545300
P34129019,The Hunger Games Trilogy,4.92,75.14,CAT0254545300
P91362711,The Girl with the Dragon Tattoo,2.83,70.34,CAT0254545300
P67275057,The Maze Runner Series,3.86,91.22,CAT0254545300
P78217241,The Hunger Games Series,1.28,106.53,CAT0254545300
P35553822,The Hobbit,1.44,24.97,CAT0254545300
P61269087,The Road,3.86,74.41,CAT0254545300
P39121645,1984,1.34,24.8,CAT0254545300
P45626479,Fahrenheit 451,1.41,35.07,CAT0254545300
P61395791,The Hobbit,2.62,126.35,CAT0254545300
P65983555,To Kill a Mockingbird,1.08,38.86,CAT0254545300
P96677758,The Maze Runner Series,2.23,32.27,CAT0254545300
P13472415,The Great Gatsby,1.1,71.88,CAT0254545300
P21268228,The Girl with the Dragon Tattoo,4.43,90.19,CAT0254545300
P11281448,Game of Thrones,4.59,121.75,CAT0254545300
P92217517,The Hobbit,2.21,62.72,CAT0254545300
P13981213,The Twilight Saga,1.64,62.13,CAT0254545300
P75862291,Gone Girl,3.67,119.14,CAT0254545300
P44114070,The Catcher in the Rye,2.82,91.68,CAT0254545300
P43542510,The Twilight Saga,2.04,149,CAT0254545300
P93426015,The Great Gatsby,3.1,71.52,CAT0254545300
P41899275,The Lord of the Rings Series,4.88,13.33,CAT0254545300
P55206620,A Song of Ice and Fire,1.68,12.03,CAT0254545300
P77906440,The Mortal Instruments Series,2.31,107.98,CAT0254545300
P92929889,Pride and Prejudice,2.66,121.16,CAT0254545300
P81375409,Harry Potter and the Chamber of Secrets,2.7,24.27,CAT0254545300
P28889142,The Hunger Games,4.44,35.05,CAT0254545300
P54252623,The Fault in Our Stars,4.6,48.12,CAT0254545300
P92146041,The Hunger Games,3.16,148.58,CAT0254545300
P76573321,The Maze Runner Trilogy,2.81,128.11,CAT0254545300
P32897218,Harry Potter and the Order of the Phoenix,1.56,91.52,CAT0254545300
P31449565,Lord of the Flies,3.91,11.9,CAT0254545300
P51373352,A Song of Ice and Fire,1.43,13.38,CAT0254545300
P13972659,Game of Thrones,3.44,145.64,CAT0254545300
P70177835,The Catcher in the Rye,2,7.13,CAT0254545300
P27501243,The Mortal Instruments Series,2.63,44.68,CAT0254545300
P27202681,The Hunger Games Trilogy,4.82,28.04,CAT0254545300
P77815560,To Kill a Mockingbird,2.49,34.63,CAT0254545300
P16422655,The Maze Runner Series,1.45,22.23,CAT0254545300
P37616718,Pride and Prejudice,3.9,31.77,CAT0254545300
P38449378,The Road,1.26,10.2,CAT0254545300
P26826691,The Girl with the Dragon Tattoo,3.41,66.39,CAT0254545300
P42945843,Harry Potter and the Chamber of Secrets,3.42,22.36,CAT0254545300
P94875199,Lord of the Flies,4.66,93,CAT0254545300
P67143596,The Twilight Saga,4.3,34.86,CAT0254545300
P45586681,The Hunger Games Series,3.3,133.14,CAT0254545300
P58223547,The Lord of the Rings,4.49,95.18,CAT0254545300
P40291035,The Twilight Saga,4.38,73.15,CAT0254545300
P91772057,Gone Girl,2.13,130.34,CAT0254545300
P66314818,The Catcher in the Rye,2.01,40.01,CAT0254545300
P71686912,The Twilight Saga,4.6,4.07,CAT0254545300
P23115354,The Lord of the Rings,2.79,8.41,CAT0254545300
P86402575,The Lord of the Rings,4.91,19.69,CAT0254545300
