product_id,customer_id,supplier_id,order_id,order_transaction_date,order_quantity
P77906440,CUS3810548448,SUP305385506,ORD4420390312,24/07/21,41
P62423978,CUS2447947690,SUP512101375,ORD6667949041,19/12/22,82
P18539192,CUS0666815798,SUP114427716,ORD9177842114,09/12/21,63
P60375192,CUS2542258627,SUP125198230,ORD5417336379,07/06/21,8
P41608676,CUS9669922704,SUP129224270,ORD9742606415,04/03/21,75
P37231300,CUS7002152815,SUP198078780,ORD5461059312,23/12/20,83
P89555698,CUS1962480119,SUP283070800,ORD0447575242,15/08/20,63
P90263233,CUS7120774123,SUP135411427,ORD5345633387,15/02/22,39
P36735621,CUS9081937030,SUP232333075,ORD7858391833,06/12/20,62
P32531909,CUS2942879726,SUP218950278,ORD4052042447,02/11/22,45
P40373788,CUS2267511320,SUP113427036,ORD4597840974,18/12/20,64
P92615078,CUS5398630814,SUP264619357,ORD3559623904,31/10/20,13
P88568858,CUS2738440495,SUP248372052,ORD3347269125,06/02/20,6
P36329652,CUS5556098751,SUP840378313,ORD5002370556,02/09/20,95
P62423978,CUS3725458952,SUP272155500,ORD7761576737,01/10/22,18
P92803982,CUS3148982312,SUP122284583,ORD6241134565,30/08/20,80
P21857128,CUS3879310602,SUP695839034,ORD5038823034,25/03/20,93
P70356262,CUS3086039701,SUP178309329,ORD7247479107,13/08/20,83
P77216116,CUS6553843783,SUP424904370,ORD6821335843,06/03/22,36
P13745599,CUS8430998942,SUP359315989,ORD8222488673,09/10/21,28
P31652354,CUS0327061642,SUP209531516,ORD0577068426,03/11/21,32
P19201199,CUS2672993394,SUP260054113,ORD6326295867,24/12/21,19
P23954632,CUS5853736426,SUP264619357,ORD6365517224,20/10/20,12
P15957424,CUS8956012032,SUP293926685,ORD9742606415,11/09/21,36
P56993765,CUS2542258627,SUP159407557,ORD6838146643,06/08/20,23
P75862291,CUS8666880597,SUP163462750,ORD3353144180,22/09/22,96
P86575409,CUS5073267176,SUP207257196,ORD0583594422,03/08/21,24
P41232863,CUS1713550946,SUP424904370,ORD5663974330,03/10/21,27
P56729689,CUS2542258627,SUP265269126,ORD3327967325,20/12/22,11
P61449978,CUS3570619591,SUP222889906,ORD6231197188,27/06/22,25
P64884205,CUS9861275711,SUP259593110,ORD9442108925,10/05/21,100
P53649623,CUS3400479128,SUP391286527,ORD5624596256,08/07/20,45
P62685206,CUS3611501190,SUP204457471,ORD5991349159,08/09/20,100
P39805594,CUS3656326665,SUP273189001,ORD7888575083,05/09/21,18
P65741732,CUS4512520449,SUP246730485,ORD5373467986,05/12/22,73
P79973603,CUS5050117607,SUP260054113,ORD4164026020,02/05/21,84
P53378526,CUS1476674221,SUP828561200,ORD5480831621,17/02/22,56
P28441437,CUS4974751867,SUP198135621,ORD7119371811,28/06/22,65
P82197036,CUS5622992699,SUP689350546,ORD4830085386,04/02/22,11
P37294983,CUS2891104692,SUP142524398,ORD9442108925,07/06/21,3
P39731603,CUS5482378098,SUP938696893,ORD6579004634,06/10/20,74
P34701889,CUS2404489968,SUP584400435,ORD3253666159,04/01/22,18
P91263430,CUS0510573673,SUP280438548,ORD9710202296,24/12/22,48
P11732301,CUS7932932270,SUP178275560,ORD7206770213,25/04/22,36
P23954632,CUS0342969579,SUP264619357,ORD5766664698,04/08/20,46
P81554792,CUS8929728499,SUP272155500,ORD6363263731,29/11/21,48
P31286465,CUS8268237988,SUP463149069,ORD6510384437,06/08/20,98
P64131670,CUS9864704958,SUP227734170,ORD2980088260,13/09/20,82
P53133956,CUS6477486903,SUP424904370,ORD0510401040,13/08/22,90
P40373788,CUS5208397536,SUP200579943,ORD1369384438,15/04/21,55
P36381999,CUS1962480119,SUP668506718,ORD5002370556,19/06/21,51
P83352663,CUS2542258627,SUP581298570,ORD7665078653,07/08/21,30
P23969997,CUS3614087298,SUP207257196,ORD3984949899,07/11/22,78
P19201199,CUS4858770729,SUP132254606,ORD4049752310,24/07/20,56
P49439033,CUS0702267945,SUP828561200,ORD7290219235,06/04/20,40
P15957424,CUS6282311217,SUP226905544,ORD2525988438,21/08/22,45
P82197036,CUS6455635027,SUP337535546,ORD4599333506,01/02/22,36
P64131670,CUS0283852631,SUP195739214,ORD7724999060,03/03/20,45
P41388769,CUS8785551031,SUP142663161,ORD1793324990,22/07/22,89
P36846102,CUS9984735494,SUP275620523,ORD3745448398,11/08/21,33
P82906066,CUS0181978083,SUP324870003,ORD0851817634,26/04/21,22
P14994695,CUS9267696068,SUP398474325,ORD2160465900,26/06/22,25
P82284372,CUS6774404065,SUP232115291,ORD0614892300,22/02/20,4
P76951423,CUS9864704958,SUP185486546,ORD3539770842,13/06/22,63
P57427090,CUS0365283169,SUP133404992,ORD2894463576,06/11/20,74
P62744404,CUS2685664459,SUP228032136,ORD4944507040,21/07/22,16
P53133956,CUS1547103515,SUP424904370,ORD2736910661,14/02/20,90
P23885151,CUS8430998942,SUP273189001,ORD0567798328,19/04/22,46
P19201199,CUS5772154958,SUP260054113,ORD0341392452,19/05/20,97
P77906440,CUS1341801934,SUP840587209,ORD9536392376,02/09/22,5
P11759622,CUS9137941305,SUP260054113,ORD0041195661,29/08/22,29
P10975669,CUS7120774123,SUP173547559,ORD1487849001,27/08/22,58
P36381999,CUS2672993394,SUP241830593,ORD3327967325,04/07/21,99
P36381999,CUS7030582586,SUP241830593,ORD3838289040,16/12/20,75
P13508452,CUS3822688606,SUP133509984,ORD6177093439,12/06/22,95
P61926913,CUS6033136586,SUP259205684,ORD2415001770,08/10/21,25
P79973603,CUS7416800110,SUP275620523,ORD0510401040,12/06/21,97
P33926222,CUS3856926208,SUP260762356,ORD2791334020,15/10/22,50
P54446208,CUS8641966102,SUP689350546,ORD9666381076,22/08/22,41
P17981239,CUS4032403325,SUP512101375,ORD6746889039,23/07/20,15
P30241270,CUS2301646262,SUP232333075,ORD5500994473,18/07/20,4
P76573321,CUS3570619591,SUP163462750,ORD5687001222,05/08/22,34
P48287238,CUS5060359840,SUP131798677,ORD6661863278,18/10/22,26
P85664224,CUS9831686721,SUP129224270,ORD0232989578,15/06/20,13
P36992527,CUS1035613352,SUP251725474,ORD3537126090,27/11/20,57
P31886096,CUS2528958110,SUP297518437,ORD1452419325,01/11/22,45
P86575409,CUS2469326311,SUP146303725,ORD5482895551,03/06/21,25
P94622945,CUS8214379040,SUP311982157,ORD2580746018,22/06/21,71
P53696947,CUS3519087308,SUP159432385,ORD4127078622,02/06/22,17
P91809454,CUS0667980644,SUP656913471,ORD2658400852,02/11/20,67
P92909603,CUS1713550946,SUP207257196,ORD5350118066,09/07/21,69
P69461901,CUS0510573673,SUP264619357,ORD7478603209,27/12/21,45
P18156345,CUS2464432504,SUP202756351,ORD4314653358,26/12/21,32
P80167548,CUS4818183709,SUP295630905,ORD3537126090,08/10/22,75
P81392925,CUS1278280324,SUP289814149,ORD2580746018,12/06/20,9
P55206620,CUS8714658291,SUP144153284,ORD8476665586,25/07/21,16
P62423978,CUS8787145480,SUP512101375,ORD2060415993,20/08/20,92
P36353779,CUS9267696068,SUP200579943,ORD3060938201,29/01/20,1
P44116414,CUS2715471564,SUP668506718,ORD0900030772,28/02/21,27
P89573496,CUS2193579504,SUP129224270,ORD1888016254,13/11/21,78
P53649623,CUS3333948133,SUP178309329,ORD5733190791,28/04/20,6
P15931711,CUS9540043492,SUP584400435,ORD8682059844,16/06/22,62
P41388769,CUS0319296857,SUP293926685,ORD5342402814,12/07/21,13
P48296294,CUS7749762299,SUP159126633,ORD0389606842,08/02/22,85
P46637021,CUS7907991730,SUP270987025,ORD9560276399,08/05/22,79
P38683780,CUS2348169959,SUP191089540,ORD8880165075,23/11/21,33
P99789809,CUS9901496896,SUP476888678,ORD0646711965,02/10/22,94
P61449978,CUS0869560840,SUP258163777,ORD0341392452,31/12/22,96
P26826691,CUS1035613352,SUP261309764,ORD7347351480,06/06/20,34
P79675714,CUS3253694305,SUP146303725,ORD7774668035,27/05/22,54
P16422655,CUS0327061642,SUP170232323,ORD6177093439,21/11/20,92
P45507004,CUS8509993262,SUP251586871,ORD8913617259,05/07/22,86
P24518204,CUS8509993262,SUP275620523,ORD0900030772,17/11/22,76
P55495888,CUS2738440495,SUP289814149,ORD7761576737,17/12/21,26
P36928752,CUS2066613908,SUP316833253,ORD5500994473,12/04/22,82
P20154366,CUS5556098751,SUP251725474,ORD3491071823,25/12/21,51
P13745599,CUS2471316379,SUP112426010,ORD0342823361,01/03/20,10
P82814085,CUS6553843783,SUP270987025,ORD6739546265,02/12/22,50
P38753116,CUS7120774123,SUP142524398,ORD7314023243,10/04/21,90
P57427090,CUS3774712077,SUP198078780,ORD3713914158,01/11/20,15
P61447074,CUS3725458952,SUP284017038,ORD9796136530,07/09/22,41
P92792924,CUS2726733735,SUP265977472,ORD0226106710,26/11/21,50
P37294983,CUS9501198537,SUP463149069,ORD7371871844,17/05/21,59
P95573042,CUS6604501000,SUP249760074,ORD1597773512,20/12/22,38
P39121645,CUS0342969579,SUP267200255,ORD0250163877,01/04/20,62
P81375409,CUS3228268209,SUP132315598,ORD0514814168,03/05/22,65
