product_id,customer_id,supplier_id,order_details_id,order_transaction_date,order_quantity
P90503710,CUS3559543533,SUP173547559,ORD7942287797,30/05/21,65
P47789629,CUS4009023279,SUP170232323,ORD9391608288,25/05/22,90
P45626479,CUS6401927836,SUP155467998,ORD5444245416,13/01/22,6
P49292258,CUS5147122206,SUP260762356,ORD4314653358,12/02/20,66
P69461901,CUS6022337518,SUP100395220,ORD4927078469,03/05/22,48
P77711784,CUS6309493817,SUP151690213,ORD2951237895,06/04/21,100
P11281448,CUS1266469931,SUP264619357,ORD6636879271,09/11/22,50
P58899446,CUS8214379040,SUP195739214,ORD1581176401,26/11/22,14
P89573496,CUS5762388875,SUP198135621,ORD8250944178,27/09/20,92
P91465745,CUS9022768252,SUP795028826,ORD2361705305,26/11/21,95
P31652354,CUS9648108056,SUP151971428,ORD1892489790,28/11/22,62
P47602968,CUS1713550946,SUP656913471,ORD3753807884,02/11/22,29
P92217517,CUS8833486273,SUP945668282,ORD2658400852,31/05/21,78
P67314901,CUS7100938139,SUP463149069,ORD1012979373,12/12/20,39
P47789629,CUS1941235468,SUP221499522,ORD8485600962,09/06/22,46
P25517310,CUS3432315376,SUP284008125,ORD2747685031,04/12/20,79
P41945186,CUS6458739613,SUP284017038,ORD5991349159,01/11/20,63
P32662825,CUS9400284608,SUP227734170,ORD9666381076,02/07/20,84
P79675714,CUS4423979195,SUP272769681,ORD2361705305,09/12/21,18
P71694575,CUS8442491759,SUP760221969,ORD7270882542,13/09/22,40
P38341000,CUS8828294876,SUP186921538,ORD1529404797,06/09/20,10
P34432938,CUS1796896772,SUP224698208,ORD0406984688,11/06/20,29
P29795820,CUS1760557757,SUP156300936,ORD5624596256,16/10/22,44
P63223251,CUS2348169959,SUP247151522,ORD2736910661,22/09/20,39
P38683780,CUS2858167869,SUP243659080,ORD1804608827,19/10/21,33
P59416778,CUS0235597759,SUP159407557,ORD2891483653,02/09/21,73
P37952537,CUS2416141813,SUP398474325,ORD2060415993,28/09/21,96
P77216116,CUS6136461064,SUP183296109,ORD7452781647,07/05/22,73
P57533522,CUS6073283601,SUP322365865,ORD9961067836,02/05/22,8
P35553822,CUS9789897766,SUP129209784,ORD3007272733,07/08/20,23
P73777011,CUS8850149883,SUP241058304,ORD0718737178,12/09/20,55
P38535158,CUS1235597083,SUP159407557,ORD5560027508,10/11/22,73
P23969997,CUS7797017468,SUP242348575,ORD0227538030,13/07/21,88
P22254190,CUS3085649263,SUP155467998,ORD4599333506,06/12/22,62
P40373788,CUS1941235468,SUP202756351,ORD3007272733,06/08/21,45
P36353779,CUS4787668765,SUP200579943,ORD4108883639,11/02/22,45
P12561701,CUS2788741928,SUP146303725,ORD2509688742,05/05/21,39
P90213319,CUS1237854598,SUP136871057,ORD7870079357,26/08/22,55
P99335403,CUS5864849154,SUP251586871,ORD3984928074,21/01/20,78
P83352663,CUS1907537864,SUP170774484,ORD0854269302,07/08/22,23
P39826195,CUS3977498797,SUP187257058,ORD0854269302,23/08/22,27
P37294983,CUS1491607114,SUP134982297,ORD8997801354,09/12/20,88
