order_id,order_status,check_out_date,payment_method,payment_status,payment_date
ORD6365517224,Cancelled,2022.8.28,PayPal,Payment Cancelled,2022.9.1
ORD9813746734,Problem,2024.2.6,Debit Card,Payment Failed,2024.2.10
ORD7270882542,Refunded,2022.3.5,Apple Pay,Refund Successful,2022.3.11
ORD6541867418,Confirmed,2022.4.16,Credit Card,Partial Payment,2022.4.19
ORD5991349159,Confirmed,2023.5.3,Google Pay,Payment Successful,2023.5.4
ORD5461059312,Completed,2019.5.7,Credit Card,Payment Successful,2019.5.11
ORD0226106710,Problem,2019.2.20,Apple Pay,Payment Failed,2019.2.23
ORD3347269125,Pending,2023.3.29,Google Pay,Pending Payment,2023.4.5
ORD4212441860,Refunded,2023.1.13,Google Pay,Refund Successful,2023.1.17
ORD5223844258,Refunding,2021.7.16,Credit Card,Refund Processing,2021.7.22
ORD0876947372,Refunded,2022.9.19,Debit Card,Refund Successful,2022.9.22
ORD6510384437,Completed,2019.5.4,Credit Card,Payment Successful,2019.5.7
ORD8269075067,Confirmed,2019.11.21,Debit Card,Payment Successful,2019.11.22
ORD7516965573,Problem,2020.10.25,Apple Pay,Payment Failed,2020.11.1
ORD4753786212,Pending,2020.12.13,Debit Card,Pending Payment,2020.12.20
ORD5482895551,Refunded,2023.1.10,Bank Transfer,Refund Successful,2023.1.10
ORD6739546265,Cancelled,2024.1.28,Bank Transfer,Payment Cancelled,2024.1.31
ORD1452419325,Refunded,2020.1.6,Apple Pay,Refund Successful,2020.1.6
ORD1888016254,Refunding,2019.3.28,Credit Card,Refund Processing,2019.3.30
ORD9113582540,Cancelled,2020.8.3,Bank Transfer,Payment Cancelled,2020.8.9
ORD7487164435,Refunding,2023.8.10,Credit Card,Refund Processing,2023.8.15
ORD2070169591,Refunded,2019.11.23,Bank Transfer,Refund Successful,2019.11.24
ORD0562645562,Processing,2022.2.19,Google Pay,Payment Processing,2022.2.20
ORD0313825711,Refunded,2019.2.8,PayPal,Refund Successful,2019.2.13
ORD3235220079,Completed,2021.8.24,Debit Card,Payment Successful,2021.8.27
ORD7767400899,Pending,2023.5.30,Apple Pay,Pending Payment,2023.5.30
ORD5572176813,Processing,2022.5.20,PayPal,Payment Processing,2022.5.22
ORD0567798328,Confirmed,2020.5.3,Google Pay,Payment Successful,2020.5.8
ORD1719864118,Pending,2019.4.24,Debit Card,Pending Payment,2019.5.1
ORD8292399597,Shipped,2021.3.21,Debit Card,Payment Successful,2021.3.28
ORD3586735925,Processing,2019.10.10,Credit Card,Partial Payment,2019.10.16
ORD9177842114,Refunding,2019.3.15,Debit Card,Refund Processing,2019.3.21
ORD4445501390,Processing,2020.2.23,PayPal,Payment Processing,2020.2.28
ORD0910352685,Cancelled,2021.8.12,PayPal,Payment Cancelled,2021.8.14
ORD1487849001,Refunding,2022.11.29,Apple Pay,Refund Processing,2022.12.3
ORD5695561920,Confirmed,2022.10.27,PayPal,Partial Payment,2022.10.30
ORD0527883863,Processing,2022.6.28,Google Pay,Payment Processing,2022.7.5
ORD2958995282,Problem,2019.2.18,Credit Card,Payment Failed,2019.2.23
ORD5850225594,Confirmed,2021.9.29,Credit Card,Partial Payment,2021.10.3
ORD9961067836,Pending,2022.12.30,Apple Pay,Pending Payment,2022.12.30
ORD1905776021,Pending,2019.9.29,Bank Transfer,Pending Payment,2019.9.29
ORD4581480131,Cancelled,2019.9.6,PayPal,Payment Cancelled,2019.9.9
ORD0933776242,Refunded,2019.12.10,Apple Pay,Refund Successful,2019.12.16
ORD0227538030,Pending,2021.8.11,Credit Card,Pending Payment,2021.8.14
ORD3540807879,Processing,2019.3.23,Debit Card,Payment Successful,2019.3.27
